[2024-11-02T16:02:58.017+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-11-02T16:02:56.020192+00:00 [queued]>
[2024-11-02T16:02:58.027+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-11-02T16:02:56.020192+00:00 [queued]>
[2024-11-02T16:02:58.027+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2024-11-02T16:02:58.045+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProducerOperator): generate_txn_fact_data> on 2024-11-02 16:02:56.020192+00:00
[2024-11-02T16:02:58.053+0000] {standard_task_runner.py:57} INFO - Started process 233 to run task
[2024-11-02T16:02:58.056+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'manual__2024-11-02T16:02:56.020192+00:00', '--job-id', '1841', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmp4p3cgksz']
[2024-11-02T16:02:58.059+0000] {standard_task_runner.py:85} INFO - Job 1841: Subtask generate_txn_fact_data
[2024-11-02T16:02:58.105+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-11-02T16:02:56.020192+00:00 [running]> on host d7ae6674561a
[2024-11-02T16:02:58.187+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='minhtranquang' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2024-11-02T16:02:56.020192+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-11-02T16:02:56.020192+00:00'
[2024-11-02T16:02:58.191+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.5', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.5', 9092) IPv4]
[2024-11-02T16:02:58.192+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2024-11-02T16:02:58.193+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.5', 9092)]>: Connection complete.
[2024-11-02T16:02:58.296+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2024-11-02T16:02:58.297+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2024-11-02T16:02:58.455+0000] {conn.py:380} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.5', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.5', 9092) IPv4]
[2024-11-02T16:02:58.457+0000] {conn.py:410} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.5', 9092)]>: Connection complete.
[2024-11-02T16:02:58.458+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.20.0.5', 9092)]>: Closing connection. 
[2024-11-02T16:02:58.663+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1705939378302, 'account_id': 'A00003', 'customer_id': 'C00032', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00060', 'transaction_amount': 3835.07, 'exchange_rate': 1.3909}
[2024-11-02T16:02:58.665+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1718380978664, 'account_id': 'A00055', 'customer_id': 'C00015', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00006', 'transaction_amount': 3337.0, 'exchange_rate': 1.1926}
[2024-11-02T16:02:58.666+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1713024178666, 'account_id': 'A00099', 'customer_id': 'C00051', 'transaction_type': 'Withdrawal', 'currency': 'USD', 'branch_id': 'B00004', 'transaction_amount': 7000.57, 'exchange_rate': 1.0997}
[2024-11-02T16:02:58.667+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1720540978667, 'account_id': 'A00006', 'customer_id': 'C00035', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00031', 'transaction_amount': 6711.37, 'exchange_rate': 1.1973}
[2024-11-02T16:02:58.668+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1708704178668, 'account_id': 'A00094', 'customer_id': 'C00032', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00083', 'transaction_amount': 1284.35, 'exchange_rate': 1.0424}
[2024-11-02T16:02:58.669+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1718640178669, 'account_id': 'A00041', 'customer_id': 'C00091', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00016', 'transaction_amount': 1073.96, 'exchange_rate': 1.4026}
[2024-11-02T16:02:58.670+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1726416178670, 'account_id': 'A00066', 'customer_id': 'C00061', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00056', 'transaction_amount': 5068.7, 'exchange_rate': 0.9431}
[2024-11-02T16:02:58.672+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1706112178672, 'account_id': 'A00047', 'customer_id': 'C00100', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00005', 'transaction_amount': 5046.95, 'exchange_rate': 1.3248}
[2024-11-02T16:02:58.673+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000009', 'transaction_date': 1723996978673, 'account_id': 'A00092', 'customer_id': 'C00021', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00090', 'transaction_amount': 7943.37, 'exchange_rate': 1.0065}
[2024-11-02T16:02:58.674+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000010', 'transaction_date': 1724774578674, 'account_id': 'A00071', 'customer_id': 'C00088', 'transaction_type': 'Deposit', 'currency': 'GBP', 'branch_id': 'B00054', 'transaction_amount': 22.01, 'exchange_rate': 1.2714}
[2024-11-02T16:02:58.675+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000011', 'transaction_date': 1717516978675, 'account_id': 'A00012', 'customer_id': 'C00065', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00008', 'transaction_amount': 2766.08, 'exchange_rate': 1.0406}
[2024-11-02T16:02:58.677+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000012', 'transaction_date': 1713369778676, 'account_id': 'A00080', 'customer_id': 'C00034', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00078', 'transaction_amount': 9580.67, 'exchange_rate': 0.9202}
[2024-11-02T16:02:58.678+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000013', 'transaction_date': 1718812978677, 'account_id': 'A00100', 'customer_id': 'C00033', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00095', 'transaction_amount': 6838.09, 'exchange_rate': 0.8797}
[2024-11-02T16:02:58.679+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000014', 'transaction_date': 1730476978679, 'account_id': 'A00084', 'customer_id': 'C00092', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00084', 'transaction_amount': 9431.0, 'exchange_rate': 1.3008}
[2024-11-02T16:02:58.680+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000015', 'transaction_date': 1722960178680, 'account_id': 'A00038', 'customer_id': 'C00065', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00029', 'transaction_amount': 8687.09, 'exchange_rate': 0.9521}
[2024-11-02T16:02:58.681+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000016', 'transaction_date': 1715961778681, 'account_id': 'A00054', 'customer_id': 'C00020', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00009', 'transaction_amount': 878.5, 'exchange_rate': 1.0705}
[2024-11-02T16:02:58.683+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000017', 'transaction_date': 1718467378683, 'account_id': 'A00068', 'customer_id': 'C00058', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00039', 'transaction_amount': 9697.98, 'exchange_rate': 1.1718}
[2024-11-02T16:02:58.684+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000018', 'transaction_date': 1699372978684, 'account_id': 'A00087', 'customer_id': 'C00069', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00068', 'transaction_amount': 5345.04, 'exchange_rate': 0.7215}
[2024-11-02T16:02:58.685+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000019', 'transaction_date': 1714060978685, 'account_id': 'A00012', 'customer_id': 'C00099', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00072', 'transaction_amount': 5843.97, 'exchange_rate': 1.3577}
[2024-11-02T16:02:58.686+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000020', 'transaction_date': 1709049778686, 'account_id': 'A00092', 'customer_id': 'C00063', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00007', 'transaction_amount': 9740.34, 'exchange_rate': 1.2228}
[2024-11-02T16:02:58.688+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000021', 'transaction_date': 1729612978687, 'account_id': 'A00036', 'customer_id': 'C00045', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00056', 'transaction_amount': 6640.87, 'exchange_rate': 1.4138}
[2024-11-02T16:02:58.689+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000022', 'transaction_date': 1705507378688, 'account_id': 'A00064', 'customer_id': 'C00063', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00075', 'transaction_amount': 5940.5, 'exchange_rate': 1.2167}
[2024-11-02T16:02:58.690+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000023', 'transaction_date': 1720454578690, 'account_id': 'A00015', 'customer_id': 'C00089', 'transaction_type': 'Withdrawal', 'currency': 'GBP', 'branch_id': 'B00008', 'transaction_amount': 7644.06, 'exchange_rate': 0.7461}
[2024-11-02T16:02:58.691+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000024', 'transaction_date': 1705248178691, 'account_id': 'A00003', 'customer_id': 'C00082', 'transaction_type': 'Credit', 'currency': 'USD', 'branch_id': 'B00007', 'transaction_amount': 3984.68, 'exchange_rate': 1.3015}
[2024-11-02T16:02:58.692+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000025', 'transaction_date': 1706716978692, 'account_id': 'A00047', 'customer_id': 'C00096', 'transaction_type': 'Withdrawal', 'currency': 'USD', 'branch_id': 'B00007', 'transaction_amount': 533.67, 'exchange_rate': 1.4582}
[2024-11-02T16:02:58.693+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000026', 'transaction_date': 1713974578693, 'account_id': 'A00093', 'customer_id': 'C00044', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00049', 'transaction_amount': 9702.45, 'exchange_rate': 1.2312}
[2024-11-02T16:02:58.694+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000027', 'transaction_date': 1701446578694, 'account_id': 'A00058', 'customer_id': 'C00093', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00097', 'transaction_amount': 7293.19, 'exchange_rate': 1.0998}
[2024-11-02T16:02:58.695+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000028', 'transaction_date': 1727712178695, 'account_id': 'A00026', 'customer_id': 'C00091', 'transaction_type': 'Transfer', 'currency': 'USD', 'branch_id': 'B00094', 'transaction_amount': 5085.31, 'exchange_rate': 0.5076}
