[2024-11-02T16:30:55.712+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-11-02T16:30:53.969707+00:00 [queued]>
[2024-11-02T16:30:55.720+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-11-02T16:30:53.969707+00:00 [queued]>
[2024-11-02T16:30:55.720+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2024-11-02T16:30:55.734+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProducerOperator): generate_txn_fact_data> on 2024-11-02 16:30:53.969707+00:00
[2024-11-02T16:30:55.738+0000] {standard_task_runner.py:57} INFO - Started process 2851 to run task
[2024-11-02T16:30:55.741+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'manual__2024-11-02T16:30:53.969707+00:00', '--job-id', '1857', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmphtx4v088']
[2024-11-02T16:30:55.744+0000] {standard_task_runner.py:85} INFO - Job 1857: Subtask generate_txn_fact_data
[2024-11-02T16:30:55.784+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-11-02T16:30:53.969707+00:00 [running]> on host d7ae6674561a
[2024-11-02T16:30:55.862+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='minhtranquang' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2024-11-02T16:30:53.969707+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-11-02T16:30:53.969707+00:00'
[2024-11-02T16:30:55.865+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.5', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.5', 9092) IPv4]
[2024-11-02T16:30:55.866+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2024-11-02T16:30:55.867+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.5', 9092)]>: Connection complete.
[2024-11-02T16:30:55.969+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2024-11-02T16:30:55.970+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2024-11-02T16:30:55.974+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1720629055973, 'account_id': 'A00062', 'customer_id': 'C00099', 'transaction_type': 'Credit', 'currency': 'EUR', 'branch_id': 'B00084', 'transaction_amount': 8450.91, 'exchange_rate': 0.9911}
[2024-11-02T16:30:55.975+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1701016255975, 'account_id': 'A00074', 'customer_id': 'C00070', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00011', 'transaction_amount': 6909.66, 'exchange_rate': 0.8693}
[2024-11-02T16:30:55.976+0000] {conn.py:380} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.5', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.5', 9092) IPv4]
[2024-11-02T16:30:55.976+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1716741055976, 'account_id': 'A00083', 'customer_id': 'C00052', 'transaction_type': 'Debit', 'currency': 'USD', 'branch_id': 'B00022', 'transaction_amount': 4419.88, 'exchange_rate': 0.844}
[2024-11-02T16:30:55.977+0000] {conn.py:410} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.5', 9092)]>: Connection complete.
[2024-11-02T16:30:55.978+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1705941055978, 'account_id': 'A00001', 'customer_id': 'C00061', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00020', 'transaction_amount': 8928.75, 'exchange_rate': 0.8155}
[2024-11-02T16:30:55.979+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.20.0.5', 9092)]>: Closing connection. 
[2024-11-02T16:30:55.980+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1705681855979, 'account_id': 'A00099', 'customer_id': 'C00083', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00062', 'transaction_amount': 5885.71, 'exchange_rate': 1.0311}
[2024-11-02T16:30:55.983+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1713198655982, 'account_id': 'A00002', 'customer_id': 'C00036', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00002', 'transaction_amount': 770.44, 'exchange_rate': 0.627}
[2024-11-02T16:30:55.984+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1700843455984, 'account_id': 'A00062', 'customer_id': 'C00055', 'transaction_type': 'Credit', 'currency': 'GBP', 'branch_id': 'B00085', 'transaction_amount': 6053.89, 'exchange_rate': 1.0474}
[2024-11-02T16:30:55.986+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1701621055986, 'account_id': 'A00084', 'customer_id': 'C00027', 'transaction_type': 'Withdrawal', 'currency': 'EUR', 'branch_id': 'B00009', 'transaction_amount': 6006.68, 'exchange_rate': 0.9853}
