[2024-11-02T16:37:47.039+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-11-02T16:37:44.803656+00:00 [queued]>
[2024-11-02T16:37:47.050+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-11-02T16:37:44.803656+00:00 [queued]>
[2024-11-02T16:37:47.051+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 1
[2024-11-02T16:37:47.070+0000] {taskinstance.py:1380} INFO - Executing <Task(KafkaProducerOperator): generate_txn_fact_data> on 2024-11-02 16:37:44.803656+00:00
[2024-11-02T16:37:47.075+0000] {standard_task_runner.py:57} INFO - Started process 3036 to run task
[2024-11-02T16:37:47.078+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'transaction_facts_generator', 'generate_txn_fact_data', 'manual__2024-11-02T16:37:44.803656+00:00', '--job-id', '1858', '--raw', '--subdir', 'DAGS_FOLDER/transaction_facts_generator.py', '--cfg-path', '/tmp/tmppqs8y4ci']
[2024-11-02T16:37:47.083+0000] {standard_task_runner.py:85} INFO - Job 1858: Subtask generate_txn_fact_data
[2024-11-02T16:37:47.149+0000] {task_command.py:415} INFO - Running <TaskInstance: transaction_facts_generator.generate_txn_fact_data manual__2024-11-02T16:37:44.803656+00:00 [running]> on host d7ae6674561a
[2024-11-02T16:37:47.294+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='minhtranquang' AIRFLOW_CTX_DAG_ID='transaction_facts_generator' AIRFLOW_CTX_TASK_ID='generate_txn_fact_data' AIRFLOW_CTX_EXECUTION_DATE='2024-11-02T16:37:44.803656+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-11-02T16:37:44.803656+00:00'
[2024-11-02T16:37:47.300+0000] {conn.py:380} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.5', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.5', 9092) IPv4]
[2024-11-02T16:37:47.301+0000] {conn.py:1205} INFO - Probing node bootstrap-0 broker version
[2024-11-02T16:37:47.303+0000] {conn.py:410} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.5', 9092)]>: Connection complete.
[2024-11-02T16:37:47.409+0000] {conn.py:1267} INFO - Broker version identified as 2.5.0
[2024-11-02T16:37:47.411+0000] {conn.py:1268} INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
[2024-11-02T16:37:47.426+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000001', 'transaction_date': 1716223067422, 'account_id': 'A00012', 'customer_id': 'C00031', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00047', 'transaction_amount': 8108.09, 'exchange_rate': 0.6979}
[2024-11-02T16:37:47.431+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000002', 'transaction_date': 1726331867430, 'account_id': 'A00075', 'customer_id': 'C00008', 'transaction_type': 'Transfer', 'currency': 'GBP', 'branch_id': 'B00050', 'transaction_amount': 4489.05, 'exchange_rate': 1.0086}
[2024-11-02T16:37:47.432+0000] {conn.py:380} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.5', 9092)]>: connecting to kafka_broker:9092 [('172.20.0.5', 9092) IPv4]
[2024-11-02T16:37:47.434+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000003', 'transaction_date': 1723135067434, 'account_id': 'A00097', 'customer_id': 'C00072', 'transaction_type': 'Deposit', 'currency': 'USD', 'branch_id': 'B00072', 'transaction_amount': 5666.81, 'exchange_rate': 1.4416}
[2024-11-02T16:37:47.437+0000] {conn.py:410} INFO - <BrokerConnection node_id=0 host=kafka_broker:9092 <connecting> [IPv4 ('172.20.0.5', 9092)]>: Connection complete.
[2024-11-02T16:37:47.439+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000004', 'transaction_date': 1730133467439, 'account_id': 'A00045', 'customer_id': 'C00074', 'transaction_type': 'Deposit', 'currency': 'EUR', 'branch_id': 'B00060', 'transaction_amount': 4996.56, 'exchange_rate': 1.3174}
[2024-11-02T16:37:47.442+0000] {conn.py:919} INFO - <BrokerConnection node_id=bootstrap-0 host=kafka_broker:9092 <connected> [IPv4 ('172.20.0.5', 9092)]>: Closing connection. 
[2024-11-02T16:37:47.445+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000005', 'transaction_date': 1699979867444, 'account_id': 'A00096', 'customer_id': 'C00024', 'transaction_type': 'Debit', 'currency': 'EUR', 'branch_id': 'B00065', 'transaction_amount': 5392.62, 'exchange_rate': 0.9607}
[2024-11-02T16:37:47.457+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000006', 'transaction_date': 1711039067456, 'account_id': 'A00036', 'customer_id': 'C00033', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00080', 'transaction_amount': 308.82, 'exchange_rate': 0.9808}
[2024-11-02T16:37:47.462+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000007', 'transaction_date': 1717605467461, 'account_id': 'A00076', 'customer_id': 'C00005', 'transaction_type': 'Transfer', 'currency': 'EUR', 'branch_id': 'B00082', 'transaction_amount': 4094.5, 'exchange_rate': 1.3873}
[2024-11-02T16:37:47.469+0000] {kafka_operator.py:60} INFO - Sent transaction: {'transaction_id': 'T000008', 'transaction_date': 1706459867468, 'account_id': 'A00065', 'customer_id': 'C00099', 'transaction_type': 'Debit', 'currency': 'GBP', 'branch_id': 'B00010', 'transaction_amount': 9078.83, 'exchange_rate': 0.9794}
